,text,reason,label
516,keyboard speaker lag,keyboard speaker lag,1
314,find background settings update,want find background settings,1
1013,video resolution low,video resolution low,1
1882,play highlight match big problem,unable play highlight,1
1332,even try application regestration freeze many items,regestration freeze,1
449,able join meet smoothly every minute zoom disconnect show error,unable join zoom room,1
1799,think hulu expensive,hulu subscription expensive,1
247,great video quality lag,video quality good,1
972,audio break,audio break,1
1087,get full screen view video meet android,want view video meet android,1
734,poor performance weak signal areas,poor performance weak signal areas,1
171,take much battery net,battery data consumption high,1
981,support page load profile page hamburger menu need find host key,want load profile page hamburger menu,1
383,important meet recommend add notification remind new update come,want notifications update,1
1649,terrible come live stream,app bad live stream,1
986,unfortunately zoom simply work android auto hence complete rubbish,auto zoom work android auto,1
1194,join meet tablet even today update,want join meet tablet,1
1491,bad app truth enter activate microphone weapon skin ugly ree character rebugged map uglier president country full jakers,want hear audio gameplay bad,1
469,everything fine re-installed support ios,app support ios reinstall,1
79,zoom tell create account,want create account,1
245,could install app phone,unable install app mobile,1
1567,app work well tv,unable use app tv,1
1093,baad quality voice,good quality voice,1
913,bluetooth support horrible,bluetooth support bad,1
1583,fantastic app moderate price suitable everyone,app good reasonable price,1
785,annoy able get full screen view,want get full screen view,1
1805,keep get error cod,get error code frequently,1
1337,card automatically withdraw money connect professional plan business,card connect professional plan,1
742,add arabic application,add arabic application,1
53,uninstalled try install could,want reinstall app,1
1821,unable download update,unable download update,1
838,touchup option available yet,want use touchup feature,1
308,take high speed network.very bad app,app require high speed internet,1
55,update zoom app,want update app,1
1069,support android tablet iphone tablet,android version support,1
165,worst videoconferencing app ever use,app good video conferencing,1
1226,change change image,want change image,1
773,uninstalled app yet still appear update list,uninstalled app yet still update list,1
1606,work samsung tablet,unable use tablet,1
1228,create dodol zoom,create dodol zoom,1
2055,available smart tvs right,want compatibility smart televisions,1
834,zoom app suck phone automatically open cam join even toggle cam presentation become black,zoom app suck phone,1
286,see approval error problem,receive approval error,1
1709,nice star war marvel category,good watch star war marvel movies,1
191,please allow change wallpaper,want change wallpaper,1
649,still suck money account mean cancel time,want stop amount deduction,1
1903,episodes miss,episodes miss,1
1771,hulu work phone,unable use hulu phone,1
2060,close reload app sound work,sound keep play even close app,1
1861,would nice put next episode button,want next episode button,1
285,give indonesian language,want indonesian language support,1
1860,would also better add brightness adjustment,want screen brightness adjust option,1
730,stream meet apple tv,want stream meet apple tv,1
699,hey guy choice menu virtual background iphone,want get menu virtual background iphone,1
698,shame meet start reach settings anymore,want access settings join meet,1
769,always need update sound system terrible,sound system need update,1
1263,useful deal people,good manage people,1
533,everyone say support turkish language translate settings turkish simple understand,want translate turkish language,1
1187,apple phone options like background option android,apple phone background option,1
719,even high speed internet app always lag,app slow high speed internet,1
1977,movie audio often low poor quality,video sound low,1
35,join zoom meet please check problem,unable attend zoom meet,1
2006,pip work,pip work,1
273,way cast zoom tv,want cast zoom television,1
194,registration long tedious,registration process time consume,1
1196,practical see love ones,good visit love ones,1
1523,zoom app able connect car bluetooth,zoom app connect car bluetooth,1
1912,one worst app ever see mainly promote fake show like biggboss malayalam,content bad due bigboss malyalam program,1
1382,android ability create open session room android even large tablet screen way open participants window parallel,android ability create open session room,1
1242,great visual audio connection,good audio video connection,1
1668,substitles small use chromecast,want adjust subtitle size chromecast,1
1294,application fu learn emoticons beautiful,emoticons beautiful,1
1811,every time open app stick,app keep get stick,1
78,zoom improve lot recently,app improve,1
33,best cloud meet app,good app cloud meet,1
1286,new window cannot remove application minimize always knock back conference,want remove window application minimize,1
1785,able sign hulu,unable sign hulu,1
1936,crash everytime whenever open app,app crash open content,1
1264,hear without headphones conference,want hear audio without headphones,1
672,also add section put note,want add section add note,1
798,please remove watermarks across everyone video,want remove watermarks,1
141,share audio via bluetooth,want share audio via bluetooth,1
287,register unmute conference,want unmute conference,1
2023,please add watch videos,want video quality due high data consumption,1
1416,passwords save device need put password every time much less update,passwords save device,1
2030,tv bad,view experience bad,1
929,present much delay,presentation slow,1
1075,mobile app good windows totally bad,windows app bad,1
1902,best cricket entertainment app,good cricket serials,1
1525,properly configure application work,want set app,1
235,able use green screen samsung mobiles,want add green screen effect,1
1186,perfect educational purpose . .,educational use,1
1179,app worst time class automatic disconnect,app bad time management,1
11,app install,unable install,1
1409,put emojis cell detail,want put emojis cell,1
1881,application work mobile phone tv,unable use mobile smart tv,1
1502,game bad reach end bug boss kill graphics suck,game bug,1
1418,zoom freeze image sound cannot see hear unexpected time,zoom freeze image sound,1
221,impossible enter conference,want connect conference,1
1473,suitable family class gather,good family class gather,1
204,change name properly,want change name,1
73,refresh zoom,want refresh app,1
1824,especially play video sometimes automatically pause,video keep pause automatically,1
712,really hard get meet laptop go back fourth google app,want connect meet laptop,1
1833,whenever log one device device get log automatically,get auto log log second device,1
1603,let update payment info,unable update payment information,1
1622,cheaper cable satellite,better cable,1
1530,every first time catch upgrade upgrade work,upgrade work,1
1894,top customer service absolutely atrocious,need improve customer service,1
700,need wait long time login,take time login,1
1885,able log cell phone time,unable login mobile number,1
1814,add option remove continue watch list,want remove videos continue watch list,1
640,love zoom meet problem occur occasionally try mute someone lower someone hand list change due someone unmuting raise lower hand cause mute incorrect person,face issue try mute lower hand,1
1999,app crash important ipl final.pathetic stream platform,app crash ipl stream,1
1038,join meet use phone,want join meet use phone,1
1214,good connection good linguistic quality,good language quality,1
82,use background image,want change background image,1
1648,cannot stream tv,unable watch tv,1
1578,best app watch cricket,good watch cricket movies,1
1177,virtual background available octacore processor,virtual background available octacore processor,1
1703,soon open app get stick home screen,app stick home page indefinitely,1
1607,soon screen turn black,app show black screen,1
240,wonder change email address,want change email address,1
1509,anyway help lot school shut quarantine back class,good school,1
297,love keep touch family,good communication friends family,1
2050,bad even update worst,frequent update annoy,1
1221,quickly fall idle greek language absent,greek language absent,1
1468,ridiculousness able enter meet pack emojis,want enter meet emojis,1
1042,support much network,want use network,1
1295,easy way unsubscribe zoom,want unsubscribe zoom,1
629,interface especially regard user control hard navigate,interface hard navigate,1
1220,please storage capacity large,storage capacity large,1
844,worst app show wrong name know try many time still problem,app show wrong name,1
1636,notifications ridiculous honor settings send notifications turn anyway,get notifications even turn,1
1727,worth pay subscription mediocre service,app service bad,1
153,helpful business,good business,1
1495,version android improve,android version need improvement,1
92,edit profile,want edit profile,1
573,app easier others recommend make interface easier time meet free version,user interface need improvement need extend time limit meet,1
356,days zoom work,app unresponsive,1
487,quick simple set value money,easy set,1
435,app easy use sometimes mic camera work zoom,camera microphone work,1
1129,mediocre app dumbed video meet mass clumsy interface significant lack feature expensive anything really crude basic entry level,app bad interface,1
536,also take note ipads take note split screen space small write meet see anything,want take note split screen,1
482,invite cannot join meet,invite unable join meet,1
1740,many show disney ones would love watch,want content platform,1
1562,every time open app freeze,app freeze automatically,1
108,put virtual background mobile zoom,want use virtual background,1
370,increase volume,want adjust volume,1
1731,disney expose kid sexuality young,kid get expose sexual content,1
1730,want new movies,need update new movies,1
1798,subscribe app,unable subscribe app,1
147,sign gmail account without password,want sign gmail without password,1
1444,let put fund cell phone,want put money cell phone,1
868,use friends family great,use friends family,1
1752,whenever try get connection error check,get connection error issue,1
1216,sound possible without switch microphone,want hear audio without switch microphone,1
62,picture quality good sound good,good visual hear quality,1
595,resolve issue maintain list conferences prepare templates,want create list conferences prepare templates,1
932,image upload poll pop certain devices find help anywhere,want find poll certain devices,1
1050,always push meet app always need constant upgrade eat data way much,get push meet update frequent,1
2007,great watch movies right phone,good watch movies mobile,1
1910,great app check game team stats,good keep team score,1
1435,great tool connect share group,good share group,1
1723,routinely force close app make work properly,restart app frequently due issue,1
1656,connect error code someone help,get error internet connection,1
1925,croatian subtitle,want croatian language subtitle,1
2034,subscribe vip unable access live star sport channel,unable access live sport channel,1
569,set annoy update terrible sound every time tap mute unmute micro way disable,latest update bad audio issue,1
1151,brilliant group meating app,good group meet,1
738,phone call drop time,phone call drop time,1
1090,miss two meet onemore problem option increase volume audio,want increase audio,1
217,set photos,want add photo,1
408,love video share experience,good video share,1
1586,load episodes like suppose work perfectly week ago update mess badly,unable see past episodes update,1
1406,need improve high-end equipment,want improve high-end equipment,1
861,language stand,language understandable,1
537,sudden take password work mobile ipad,password work,1
1063,please auto connect vpn use app,auto connect vpn use app,1
452,add virtual green screen android please,want green screen option android,1
1061,please enable virtual background redmi note host participant give star app,enable virtual background redmi note,1
813,turn camera microphone default,turn camera microphone default,1
1150,one prevent use headphones meet render app unusable force use laptop instead,want use headphones meet,1
666,good except canot record ipad version cannot chat see screen,want record ipad,1
1947,pay espn still choose tv provider watch anything,unable use espn without subscribe cable provider,1
291,quality image good,image quality need improvement,1
544,may ask send picture messenges,want send picture message,1
582,zoom let create section also let start subscribe,want create section,1
1683,still full screen issue resolve use full screen,unable use full screen,1
772,link always work reason easily copy send meet invite information,want copy paste meet invite information,1
954,app.but open app emojis download,emojis download,1
500,problem wish could isolate speaker break room,want isolate speaker break room,1
1919,work properly devices,work devices,1
450,keep take meet,get remove meet,1
276,please help issue refund,want refund,1
1496,consider cannot recover object without come surface surface contact serca second sink,want recover object without come surface,1
1970,update available hotstar,unable update hotstar,1
2045,watch movies via stream video jittery frame rate lag even though good internet connection,video keep stutter,1
1156,able receive videos share,want receive video,1
1296,enter conference move session hall zoom emojis download time,zoom emojis download time,1
1777,video quality clear,video quality clear,1
546,disable mic settings still feel switch without press mic,want turn mic,1
447,look forward add background zoom meet,want add background feature,1
1307,terrible application disgust control,app bad control,1
1769,since last update ipad audio hulu work,unable hear audio hulu,1
424,better viber zoom,viber better,1
397,write correct access code write wrong try,receive incorrect access code message,1
879,literal trash android platform,literal trash android platform,1
1183,restore information,want recover data,1
148,zoom meet password enter correctly still say incorrect,display incorrect password enter correct password,1
832,lag audio distortion someone someone speak,audio distort someone speak,1
1862,seem app work ios systems ipads,unable use ios,1
1747,please delete app support gay people,want delete app,1
922,even link properly email,want link email,1
1375,leave enter chat text write second ago completely delete repeat time annoy,text delete,1
127,nice unable use background option phone even lastest android version,unable put background android phone,1
1852,app support picture picture androids,unable use picture picture mode android,1
898,payment method difficult.with one option credit card,payment method difficult,1
1058,problem video cannot pause betwwn clases,want pause video,1
1219,quite help task,good task management,1
1521,possible connect headphones,want connect headphones,1
729,removal name mute status make app appear streamline need name mute status back function appearance,remove name mute status,1
1385,sound work xiomi,sound work xiomi,1
238,simply impossible study,want continue study,1
70,give star time app let send message,message function work,1
1893,love app trouble watch anything,unable play download video,1
119,app good would much better background come phone tablet well please come,want add virtual background,1
1675,please put screen lock,want screen lock feature,1
818,multiple windows open go breakout audio stop work,multiple windows open go breakout audio stop work,1
1041,zoom app always dissapear ever run background,zoom app work background,1
318,download appstore,want download app google play store,1
1759,please buy subscription app scam,want subscription,1
1224,file big,file big,1
681,help stay together family,good families,1
436,sound cut one person speak make noise time,want mute background noise,1
621,please put control bottom screen,want put control bottom screen,1
2056,get jio tv properly,unable use jio tv,1
361,nice clean graphic app,graphics quality good,1
233,zoom cloud meet easy anyone,zoom cloud meet user friendly,1
1872,add option edit subtitle please,want modify subtitle,1
150,last update app longer work,app work latest update,1
1792,really good family app,app good content whole family,1
1230,install whereas sy need bgt school instead install,want install bgt,1
1205,registration complicate,registration process complicate,1
1304,wonderful application help communicate friends different countries,good communication people countries,1
329,since upgrade get breakout room,face issue breakout room latest update,1
421,turn sound turn,want turn sound,1
1820,reactivate account,unable reactivate account,1
222,audio cut,audio choppy,1
1676,often auto-play next episode,unable auto play next episode,1
107,new zoom app annoy always download emoji every time launch,app keep download emoji package,1
1011,app put background like flower cute picture give star,want put background app,1
1896,app function uae,unable open app uae,1
1234,app great play friends,app good play friends,1
624,understand get work apple laptop,want work apple laptop,1
305,online class since days app work properly,want attend online lessons,1
1617,watch game live,unable view live match,1
1911,could watch favourite serials,unable watch movies show,1
1312,nihuevo transfer user data tsar,want transfer user data tsar,1
96,good zoom service quite interest,customer service good,1
739,zoom conferencing stop minutes,zoom conferencing stop minutes,1
1517,write want,want write want,1
1422,allow edit video fraction,want edit video,1
184,able get video,want access video,1
95,best platform communicate pandemic,good communication,1
89,request set disable auto-rotate please,want disable auto rotate feature,1
1433,disgust application make us pass class,app make us pass class,1
1994,app keep crash tv,app keep crash tv,1
1980,app work qatar,unable open app middle east,1
1510,excellent one minus delete post public message one troublesome,unable delete public message,1
350,tough understand app,app difficult understand,1
468,audio problems endless really bother last week schedule meet mobile app appear website meet list anymore,want schedule meet mobile face audio issue,1
1413,let connect tablet camera,want connect camera,1
1077,open zoom speed become ps,zoom speed become ps,1
1434,connection permanently cut,connection permanently cut,1
1808,want download anything,want download,1
1036,cannot interact app exit split screen mode,want interact app exit split screen mode,1
1597,app terrible although things like watch matter work properly,app bad watch videos,1
1721,disconnect close app reopen select episode,reset app frequently due issue,1
1975,content play moto jittery lag,video lag moto devices,1
1457,allow create group section among action,want create group,1
1153,net work quality bad,net work quality bad,1
1853,app suck still take long time download,app bad download time slow,1
109,app good call quality extremely good,good app conduct call,1
267,one best app online class min,want increase meet time limit,1
584,would help many students zoom meet meet minimize one part screen,want minimize screen zoom,1
962,nice background mobile,mobile app background,1
896,great app business chat,good business chat,1
2019,fun watch movies spend time family,good watch movies family,1
241,ui improve,user interface need improvement,1
1540,add feature delete message room owner set sign member,want delete message,1
521,really annoy account use cannot change name profile picture name completely different real one half school know,want change name profile picture,1
493,extremely good interface clear quality conferencing,good interface clear quality conferencing,1
1926,decrease subscription fee,want lower subscription charge,1
254,anybody tell make id zoom,want make id app,1
775,easy create meet link,easy create meet link,1
81,know reason install app,want install app,1
1508,please stop detect phone model jus enable vbg devices,want enable vbg devices,1
1026,android mobile zoom meet record video audio,want record video,1
1185,problem okay record audio screen record,want record audio screen record,1
732,mobile.really terrible design launch meet without give preview cause suddenly enter meet video audio past,want get preview join meet,1
1678,commercials loud,ads louder content,1
1560,app crash frequently,app crash,1
1635,play videos happen automatically home screen stop app minimize sometimes even app close,video keep play background exit app,1
1621,subscribers pay money get disappoint time,app subscription worthy,1
1830,see videos hotstar,unable play video hotstar,1
1403,log google account without browser,want login without browser,1
704,keep load although network stable,app keep load stable network,1
1367,enter code pass correct,code pass,1
1300,could find options test audio,want test audio,1
1436,bad character idiotic story mode worst,story mode bad,1
1575,reason lately app load,face connection problems app,1
162,unable log school account,want login school account,1
511,make impossible need account cancel soon possible,want cancel account,1
1516,register work point disgust,want record point,1
1206,set volume,want set volume,1
1726,dvr show load,unable record video,1
1274,zoom lesson load,want load zoom video,1
1476,consider loss longer safe drive mode,want use safe drive mode,1
382,desktop version terrible since last update,desktop version update good,1
159,provide subtitle,want add subtitle option,1
766,pop close even tap x button,pop close even tap x button,1
1472,good quality quality depend network good service,good quality service,1
1954,today want watch hulu,want watch hulu,1
1669,subtitle also often break otherwise keep speed conversation sometimes subtitle,subtitle delay,1
477,horrible icon transmit screen mirror horrible application,want transmit mirror screen,1
416,option co host android,want co host option mobile,1
911,able join meet time glitches,want join meet time,1
1839,current version hulu compatible ios version,unable use hulu ios latest update,1
534,unfortunately sound tv plug ipad iphone hdmi adapter,want hear audio tv plug ios devices hdmi adapter,1
377,save data use less,want data saver option,1
1665,pin keep get error right try another time,get incorrect pin error,1
599,make use whiteboard,want use whiteboard,1
503,app great useful could add feature mute someone participants still hear person would useful add,want mute participant,1
155,easily log account tablet idk try login,want login tablet,1
1963,dangerous children,bad app children,1
722,way watch record,want watch record,1
760,work properly multilaser tablet,want use multilaser tablet,1
489,always need feature ipad iphone like save contact name number also new background filter,want better feature ipad iphone,1
1046,great way video chat family friends facebook messenger iphone facetime,good video conversations,1
1407,know meet google,unable meet google,1
1618,stream functionality awful,worst app stream,1
48,worst app join meet,want enter meet,1
102,best app chat meet,app good meet chat,1
1972,play pause button bug,play pause button bug,1
631,ability lock breakout room inside similar way lock meet prevent others join,want lock breakout room inside,1
639,app would distract lot would glitch time take space laptop would always start wi-fi would shut,app glitches frequently take large memory space,1
253,app best online class conduct school,good connect class,1
1401,register student,want register student,1
1515,nice application never freeze,app never freeze,1
1638,keep track episode one series impossible watch episodes work,unable keep track episodes,1
1879,good sound clarity picture quality,good sound picture quality,1
1884,movies load,unable load movies,1
570,last update interface completely change display russian settings option language selection,want choose another language,1
250,pc version good,desktop version good,1
1538,instal backdrop difficult,instal backdrop difficult,1
971,love break room allow members share,breakout room good,1
1736,play screen turn black,screen turn black play video,1
1202,good application practical monitor remote meet,good monitor remote meet,1
216,take lot time connect meet,join meet time consume,1
950,bluetooth option play phone speaker option playstation speaker phone connect multiple devices,bluetooth speaker connect multiple devices,1
948,mic turn call do,mic turn call do,1
1369,inconvenient impossible share schedule zoom conference messengers telegram whatsapp etc,want share zoom conferences,1
244,poorest service disappoint,poor quality service,1
1008,app bad intall app take lose data meet room,data lose meet room,1
1081,speaker also work properly even though mobile perfectly fine,speaker work properly,1
1122,nowadays background voice issue,background voice issue,1
974,please add free resources teachers,want add free resources teachers,1
1113,best sign zoom app isliye main ise,want sign zoom,1
1467,download google risky,want download google,1
1543,login recommend star,login recommend star,1
1327,translation english russian zero,translation russian english zero,1
1000,week able take full class properly conclusion,want take class,1
300,delete zoom chat message,unable delete message zoom chat,1
1078,please enable photo effect options android mobiles,want photo effect android mobiles,1
1843,show load,unable load show,1
404,connect new iphone,app work iphone,1
2032,hulu app problem,need fix bug app,1
1383,please help horizontal vertical strip appear computer remain reboot know remove nothing settings,want remove horizontal vertical strip,1
508,choose language,want choose language,1
1897,try agree say disney unavailable certain region pick,unable use disney regions,1
1213,good reception good image quality,good reception good image quality,1
